"Tiedot","Kunta","2026* Kaikki majoitusliikkeet","2026* Hotellit","2026* Leirintäalueet","2026* Muut majoitusliikkeet"
"Vuoteet, lkm","Saarijärvi",232,.,.,.
"Vuoteet, lkm","Salla",1402,.,.,1016
"Vuoteet, lkm","Salo",521,217,.,304
"Vuoteet, lkm","Saltvik",239,.,.,219
"Vuoteet, lkm","Sastamala",255,.,.,.
"Vuoteet, lkm","Savitaipale",.,.,.,.
"Vuoteet, lkm","Savonlinna",3149,1413,.,1383
"Vuoteet, lkm","Savukoski",163,.,.,.
"Vuoteet, lkm","Seinäjoki",1417,1324,.,.
"Vuoteet, lkm","Sievi",.,.,.,.
"Vuoteet, lkm","Siikainen",.,.,.,.
"Vuoteet, lkm","Siikajoki",.,.,.,.
"Vuoteet, lkm","Siikalatva",.,.,.,.
"Vuoteet, lkm","Siilinjärvi",.,.,.,.
"Vuoteet, lkm","Simo",.,.,.,.
"Vuoteet, lkm","Sipoo",.,.,.,.
"Vuoteet, lkm","Siuntio",.,.,.,.
"Vuoteet, lkm","Sodankylä",2307,1848,144,315
"Vuoteet, lkm","Soini",.,.,.,.
"Vuoteet, lkm","Somero",.,.,.,.
"Vuoteet, lkm","Sonkajärvi",.,.,.,.
"Vuoteet, lkm","Sotkamo",5574,1608,.,3835
"Vuoteet, lkm","Sottunga",.,.,.,.
"Vuoteet, lkm","Sulkava",.,.,.,.
"Vuoteet, lkm","Sund",199,.,.,134
"Vuoteet, lkm","Suomussalmi",761,351,324,.
"Vuoteet, lkm","Suonenjoki",.,.,.,.
"Vuoteet, lkm","Sysmä",185,.,.,.
"Vuoteet, lkm","Säkylä",.,.,.,.
"Vuoteet, lkm","Taipalsaari",.,.,.,.
"Vuoteet, lkm","Taivalkoski",246,.,.,.
"Vuoteet, lkm","Taivassalo",.,.,.,.
"Vuoteet, lkm","Tammela",623,.,.,.
"Vuoteet, lkm","Tampere",8498,7343,.,813
"Vuoteet, lkm","Tervo",.,.,.,.
"Vuoteet, lkm","Tervola",.,.,.,.
"Vuoteet, lkm","Teuva",.,.,.,.
"Vuoteet, lkm","Tohmajärvi",.,.,.,.
"Vuoteet, lkm","Toholampi",.,.,.,.
"Vuoteet, lkm","Toivakka",.,.,.,.
"Vuoteet, lkm","Tornio",305,163,.,.
"Vuoteet, lkm","Turku",5694,4859,.,750
"Vuoteet, lkm","Tuusniemi",.,.,.,.
"Vuoteet, lkm","Tuusula",321,321,.,.
"Vuoteet, lkm","Tyrnävä",.,.,.,.
"Vuoteet, lkm","Ulvila",.,.,.,.
"Vuoteet, lkm","Urjala",.,.,.,.
"Vuoteet, lkm","Utajärvi",448,448,.,.
"Vuoteet, lkm","Utsjoki",533,278,152,103
"Vuoteet, lkm","Uusikaarlepyy",.,.,.,.
"Vuoteet, lkm","Uusikaupunki",259,210,.,.
"Vuoteet, lkm","Vaala",182,.,182,.
"Vuoteet, lkm","Vaasa",2141,1993,.,.
"Vuoteet, lkm","Valkeakoski",280,.,.,.
"Vuoteet, lkm","Vantaa",7628,7268,.,360
"Vuoteet, lkm","Varkaus",.,.,.,.
"Vuoteet, lkm","Vehmaa",.,.,.,.
"Vuoteet, lkm","Vesilahti",.,.,.,.
"Vuoteet, lkm","Veteli",.,.,.,.
"Vuoteet, lkm","Vieremä",.,.,.,.
"Vuoteet, lkm","Vihti",.,.,.,.
"Vuoteet, lkm","Viitasaari",.,.,.,.
"Vuoteet, lkm","Vimpeli",.,.,.,.
"Vuoteet, lkm","Virolahti",192,.,.,.
"Vuoteet, lkm","Virrat",244,.,.,.
"Vuoteet, lkm","Vårdö",.,.,.,.
"Vuoteet, lkm","Vöyri",.,.,.,.
"Vuoteet, lkm","Ylitornio",481,268,.,213
"Vuoteet, lkm","Ylivieska",.,.,.,.
"Vuoteet, lkm","Ylöjärvi",134,104,.,.
"Vuoteet, lkm","Ypäjä",.,.,.,.
"Vuoteet, lkm","Ähtäri",473,.,.,473
"Vuoteet, lkm","Äänekoski",194,156,.,.
